epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,epoch_time_sec
1,0.14379976774454117,0.94689,0.9462028476146734,0.94766,0.9469308632353088,0.988092773,0.06726466784477234,0.9763,0.971677559912854,0.9812,0.9764155637376853,0.997555755,321.71196031570435
2,0.06288809676408767,0.9781,0.9787894568178177,0.97738,0.97808422063886,0.9972785016000001,0.05584786022901535,0.97975,0.9738271604938271,0.986,0.9798757763975156,0.9982190850000001,316.66291761398315
3,0.04206055222392082,0.98573,0.9858563226438875,0.9856,0.9857281446588056,0.9986979924,0.04538858969807625,0.98415,0.9830390102763643,0.9853,0.9841682065624532,0.998629255,316.5819761753082
4,0.028469424809217454,0.99039,0.9905175345589854,0.99026,0.9903887505375699,0.999375307,0.045407700276374814,0.9846,0.9909827760891591,0.9781,0.9844992450931052,0.9987931999999999,433.46104621887207
5,0.021594649435281752,0.99276,0.9928980114432041,0.99262,0.9927589862580761,0.999620285,0.04318861047029495,0.98505,0.9864607361347909,0.9836,0.9850282910219819,0.998933275,433.6268582344055
6,0.01780775076031685,0.99392,0.9941571954538179,0.99368,0.993918540449708,0.9997405548,0.04326518936157227,0.98625,0.9882518325133045,0.9842,0.9862217545969237,0.9989812800000001,433.1659777164459
7,0.014095491732358932,0.99539,0.9953999079981599,0.99538,0.995389953899539,0.9998307713999999,0.0432634588778019,0.9863,0.9891369945684972,0.9834,0.9862601544478989,0.99903904,433.2223627567291
8,0.012383646856546401,0.9958,0.9959785522788204,0.99562,0.9957992438638955,0.9998804153999999,0.055188541305065154,0.98355,0.9859310622048035,0.9811,0.9835095985163651,0.99870894,433.20004057884216
9,0.010565536476373672,0.99663,0.996699537935311,0.99656,0.9966297640834858,0.9998895708000001,0.05061207691431045,0.9861,0.982625099285147,0.9897,0.9861498605021921,0.9987525800000001,433.0537350177765
10,0.010474103688001633,0.99639,0.9964793662859315,0.9963,0.9963896750707564,0.9999111914000001,0.04829021245241165,0.9862,0.9834924423229913,0.989,0.9862385321100917,0.998750295,434.0413691997528
11,0.008757268557548523,0.9971,0.9971596591590991,0.99704,0.9970998259895594,0.9999124666000001,0.05500311388969421,0.9833,0.9748477107486736,0.9922,0.9834473188621271,0.99857878,433.5410375595093
12,0.008450896093845367,0.99724,0.99724,0.99724,0.99724,0.9999455822000001,0.045911472392082216,0.986,0.983389695643525,0.9887,0.98603769821482,0.9986953700000001,433.0768942832947
13,0.00674875566482544,0.99766,0.9975803871380579,0.99774,0.9976601871850252,0.999965534,0.04801395952701568,0.9867,0.9880665864420377,0.9853,0.9866813538954536,0.99871335,433.1956419944763
14,0.0074060387659072874,0.99746,0.9975197023642837,0.9974,0.9974598475908555,0.9999538886000001,0.05632824192047119,0.98575,0.9859929964982491,0.9855,0.9857464366091523,0.99853841,433.5957226753235
15,0.006982069020271302,0.99757,0.9976595787241703,0.99748,0.9975697812803153,0.9999543006,0.05544715358614922,0.98535,0.9901040088861961,0.9805,0.985278601215897,0.9987237150000001,433.6202895641327
16,0.006230868712663651,0.99783,0.9978797879787978,0.99778,0.9978298914945747,0.9999561674,0.051246003448963164,0.9863,0.9900241837968561,0.9825,0.986247741417386,0.998514295,316.32076930999756
17,0.006037334507703781,0.99802,0.9980996959513522,0.99794,0.998019841587327,0.9999595896,0.05725146390795708,0.98615,0.9905155887397841,0.9817,0.986088092009442,0.99868308,316.7422833442688
18,0.006273214070796966,0.99784,0.9977006438197304,0.99798,0.99784030235767,0.9999650257999999,0.05364318727254867,0.9856,0.9839545545146502,0.9873,0.9856244384546271,0.99850978,316.86599040031433
19,0.005141503185033799,0.99824,0.9982599303972158,0.99822,0.998239964799296,0.9999659485999999,0.05166175932884216,0.9866,0.9886523398272745,0.9845,0.9865718007816414,0.9989035399999999,316.4948525428772
20,0.005156934683322906,0.99839,0.9984199051943117,0.99836,0.9983899516985509,0.999954738,0.052636601650714876,0.98595,0.9919020143739244,0.9799,0.985864480104633,0.9990258000000001,316.6371531486511
