model,condition,accuracy,precision,recall,f1,auc
ViT-Tiny,clean,0.9875,0.9880857028434121,0.9869,0.9874924954972983,0.9986202399999999
EfficientViT-Hybrid,clean,0.98705,0.9877816725087631,0.9863,0.9870402802101577,0.9987586149999998
AG-EfficientViT-V3,clean,0.98865,0.9893840761141712,0.9879,0.9886414811108332,0.999116165
ViT-Tiny,jpeg_q70,0.98535,0.9836571998006975,0.9871,0.9853755927127527,0.998388115
EfficientViT-Hybrid,jpeg_q70,0.98405,0.983711402018587,0.9844,0.9840555805468086,0.99848805
AG-EfficientViT-V3,jpeg_q70,0.987,0.9850597609561753,0.989,0.9870259481037924,0.99909267
ViT-Tiny,jpeg_q50,0.9848,0.9814299900695134,0.9883,0.984853014449427,0.9980651999999999
EfficientViT-Hybrid,jpeg_q50,0.98365,0.982155318512611,0.9852,0.9836753032799161,0.998490905
AG-EfficientViT-V3,jpeg_q50,0.986,0.9821428571428571,0.99,0.9860557768924303,0.99896942
ViT-Tiny,jpeg_q30,0.9824,0.9768683274021353,0.9882,0.9825014913501691,0.9979970149999999
EfficientViT-Hybrid,jpeg_q30,0.98245,0.9785735542108918,0.9865,0.9825207907972711,0.998368015
AG-EfficientViT-V3,jpeg_q30,0.98345,0.9770103601381351,0.9902,0.9835609634963993,0.99834073
ViT-Tiny,blur_r1,0.9781,0.9616647354190807,0.9959,0.9784830025545294,0.9971151649999999
EfficientViT-Hybrid,blur_r1,0.97925,0.9645245710962489,0.9951,0.9795737559679086,0.9983563049999999
AG-EfficientViT-V3,blur_r1,0.97705,0.95874603327243,0.997,0.9774988970047551,0.9972566800000001
ViT-Tiny,blur_r2,0.87565,0.801170528341217,0.9993,0.8893338673074356,0.9661970800000002
EfficientViT-Hybrid,blur_r2,0.88455,0.8128712065739159,0.9991,0.8964155937373828,0.989882845
AG-EfficientViT-V3,blur_r2,0.84585,0.7644719736942723,0.9997,0.8664037786540711,0.961313395
ViT-Tiny,resize_112,0.9686,0.9433301797540208,0.9971,0.969470102090423,0.99513184
EfficientViT-Hybrid,resize_112,0.9665,0.9401773919607473,0.9964,0.967472570152442,0.997592715
AG-EfficientViT-V3,resize_112,0.96235,0.9314173742651861,0.9982,0.9636530385673602,0.99531335
ViT-Tiny,noise_003,0.9193,0.8628418137763932,0.9971,0.9251252551493784,0.98857317
EfficientViT-Hybrid,noise_003,0.7251,0.7222990321943512,0.7314,0.7268210275265825,0.69263185
AG-EfficientViT-V3,noise_003,0.76965,0.7177582169102802,0.8888,0.7941741500245723,0.0
ViT-Tiny,noise_005,0.8371,0.7552241066020594,0.9975,0.859617373319545,0.9701104250000001
EfficientViT-Hybrid,noise_005,0.54075,0.5677022761256023,0.3417,0.42661839066109,0.0
AG-EfficientViT-V3,noise_005,0.5024,0.505035669324381,0.2407,0.3260192333739672,0.0
